1kP_Sample	Clade	Family	Species	Tissue Type	Voucher Data
PKOX	Lycophytes	Isoetaceae	Isoetes tegetiformans		JLM2013-47 (GA)
VBMM	Mosses	Brachytheciaceae	Claopodium rostratum	"mostly gametophyte	 possibly some sporophytic tiss"	Rothfels 4123 (DUKE)
ZACW	Mosses	Leucodontaceae	Leucodon brachypus	"gametophyte	 possibly some sporophytic tissue"	Pokorny NC22 (DUKE)
VMXJ	Mosses	Leucobryaceae	Leucobryum albidum	gametophyte	Rothfels 4121 (DUKE)
TMAJ	Mosses	Neckeraceae	Neckera douglasii	gametophyte with gametangia	CJR4361 (DUKE)
RXRQ	Hornworts	Notothyladaceae	Phaeoceros carolinianus	sporophyte	F.W. Li 1570 (DUKE)
TWUW	Hornworts	Anthoceroceae	Anthoceros agrestis		
AKXB	Hornworts	Dendrocerotaceae	Phaeomegaceros coriaceus	sporophyte	
IRBN	Liverworts	Scapaniaceae	Scapania nemorosa	"gametophyte	 possibly some sporophytic tissue"	Pokorny NC19 (DUKE)
KRUQ	Liverworts	Porellaceae	Porella navicularis	gametophyte	S. Joya 725 (UBC)
TXVB	Liverworts	Lunulariaceae	Lunularia cruciata	"gametophyte	 but including those structures with the gemmae"	CJR4364 (DUKE)
HMHL	Liverworts	Marchantiaceae	Marchantia paleacea	young thallus edges - non_mycorrizal	David Long (RBGE)
XMCL	Green Algae	Prasinococcaceae	Prasinococcus capsulatus	algal cells	CCMP 1194
HYHN	Green Algae	Prasinococcaceae	Prasinoderma coloniale	algal cells	CCMP 1413
MXEZ	Green Algae	Pycnococcaceae	Pycnococcus provasolii	algal cells	CCMP 1203
JMTE	Green Algae	Pycnococcaceae	Pseudoscourfieldia marina	algal cells	SCCAP K-0017
TNAW	Green Algae	Pyramimonadaceae	Pyramimonas parkeae	algal cells	CCAC 0082 (M1663/1)
XIVI	Green Algae	Pyramimonadaceae	Cymbomonas sp.	algal cells	M3265
MMKU	Green Algae	Nephroselmidaceae	Nephroselmis olivacea	algal cells	CCAC 0105
GXBM	Green Algae	Coccomyxaceae	Coccomyxa pringsheimii	algal cells	SAG 216-7
DUMA	Green Algae	Chlorodendraceae	Tetraselmis cordiformis	algal cells	CCAC 0051 (M1608/1)
BZSH	Green Algae	Golenkiniaceae	Golenkinia longispicula	algal cells	SAG 73.80
EEJO	Green Algae	incertae sedis	Neochloris oleoabundans	cells grown on 3N-BBM-V media	UTEX 1185
ALZF	Green Algae	Chlorocystidaceae	Halochlorococcum marinum	algal cells	SAG 10.90
DVYE	Green Algae	Oedogoniaceae	Oedogonium cardiacum	algal cells	SAG 575-1a
GUBD	Green Algae	Chlamydomonadaceae	Brachiomonas submarina	algal cells	CCAC 0069 (M1823)
IRYH	Green Algae	Chlamydomonadaceae	Heterochlamydomonas inaequalis	algal cells	SAG 4.75
AJUW	Green Algae	Chlamydomonadaceae	Chloromonas rosae v. psychrophila	algal cells	UTEX SNO 47
WDWX	Green Algae	Dunaliellaceae	Dunaliella tertiolecta	algal cells	UTEX LB 1000
SYJM	Green Algae	Dunaliellaceae	Dunaliella viridis dumsii	algal cells	UTEX LB 1644
FXHG	Green Algae	Dunaliellaceae	Hafniomonas reticulata	algal cells	M0530/1
NKXU	Green Algae	Trebouxiaceae	Trebouxia arboricola	algal cells	SAG 219-1a
QYXY	Green Algae	Botryococcaceae	Botryococcus terribilis	algal cells	ASW 05049
AKCR	Green Algae	Chlorellaceae	Parachlorella kessleri	algal cells	SAG 10.80
ZNUM	Green Algae	Leptosiraceae	Leptosira obovata	algal cells	SAG 445-1
FPCO	Green Algae	Ulotrichaceae	Interfilum paradoxum	algal cells	SAG 338-1
WCLV	Green Algae	Prasiolaceae	Prasiola crispa	algal cells	SAG 43.96
JTIG	Green Algae	Bryopsidaceae	Bryopsis plumosa	algal cells	KU 272
GYBH	Green Algae	Codiaceae	Codium fragile	algal cells	KU 654
KADG	Green Algae	Ulotrichaceae	Ignatius tetrasporus	algal cells	UTEX 2012
JIWJ	Green Algae	Ulotrichaceae	Acrosiphonia sp.	algal cells	SAG 127.80
